loc_x,loc_y,minutes_remaining,shot_distance,shot_made_flag,shot_id
58,47,11,7,,80
30,133,5,13,1,81
1,156,0,15,0,82
132,211,11,24,0,83
-8,4,10,0,0,84
-29,70,9,7,,85
-124,49,7,13,,86
132,127,6,18,1,87
-29,188,5,19,1,88
140,76,2,15,1,89
140,0,1,14,1,90
-1,156,1,15,1,91
-151,4,0,15,1,92
110,76,10,13,0,93
132,87,9,15,0,94
132,4,4,13,,95
-58,251,3,25,1,96
-94,160,3,18,1,97
-193,150,0,24,0,98
140,0,0,14,1,99
39,9,11,4,0,100
24,150,9,15,0,101
-1,0,7,0,1,102
119,133,6,17,1,103
-101,137,4,17,,104
119,19,3,12,0,105
-193,42,0,19,0,106
-166,55,0,17,0,107
24,116,10,11,0,108
-65,156,7,16,0,109
-166,26,6,16,1,110
-58,76,5,9,0,111
-37,70,3,7,0,112
-151,150,0,21,,113
-94,188,11,21,0,114
0,0,10,0,0,115
0,0,9,0,0,116
0,0,9,0,0,117
0,0,3,0,1,118
0,0,0,0,1,119
85,141,0,16,0,120
-88,158,8,18,1,121
0,0,8,0,1,122
-155,53,2,16,,123
0,0,0,0,1,124
1,276,0,27,1,125
-96,133,9,16,,126
155,-8,8,15,1,127
-155,13,5,15,1,128
-84,133,4,15,0,129
-178,-8,3,17,0,130
16,89,3,9,0,131
-48,106,3,11,1,132
0,0,2,0,,133
-170,13,2,17,0,134
-119,133,0,17,0,135
9,40,10,4,0,136
-84,82,6,11,0,137
9,59,4,5,0,138
0,0,3,0,1,139
9,59,1,5,1,140
45,36,1,5,,141
0,0,1,0,0,142
0,0,7,0,0,143
237,11,4,23,,144
0,0,3,0,1,145
129,-4,2,12,1,146
-98,97,0,13,1,147
167,78,11,18,0,148
108,249,10,27,0,149
0,0,10,0,,150
100,175,9,20,1,151
7,169,4,16,,152
0,0,3,0,,153
0,0,1,0,0,154
0,0,0,0,0,155
0,0,0,0,,156
115,169,10,20,0,157
1,72,5,7,0,158
0,0,3,0,,159
0,0,0,0,1,160
113,230,11,25,1,161
0,0,10,0,1,162
0,0,10,0,1,163
0,0,5,0,0,164
0,0,5,0,,165
98,194,11,21,1,166
-117,184,11,21,0,167
-168,-2,8,16,0,168
70,36,8,7,0,169
0,0,7,0,0,170
-37,42,2,5,1,171
70,194,1,20,,172
163,116,1,20,0,173
113,179,8,21,1,174
169,-2,6,16,1,175
91,156,0,18,0,176
134,93,0,16,0,177
47,477,0,47,0,178
11,137,8,13,0,179
199,13,2,19,0,180
77,236,0,24,0,181
0,0,11,0,,182
11,247,9,24,0,183
-103,230,5,25,0,184
-31,247,0,24,1,185
-10,99,2,9,1,186
13,100,2,10,0,187
-73,200,0,21,1,188
-77,184,10,19,1,189
188,177,9,25,0,190
0,0,8,0,0,191
174,-6,6,17,,192
0,0,6,0,,193
-128,137,4,18,0,194
0,0,4,0,1,195
153,4,0,15,,196
1,93,11,9,0,197
115,160,6,19,1,198
159,200,6,25,1,199
167,0,0,16,0,200
-162,245,11,29,0,201
-162,66,10,17,,202
167,-6,8,16,0,203
-4,150,6,15,1,204
-185,9,5,18,1,205
237,19,3,23,1,206
-229,19,0,22,1,207
0,0,11,0,0,208
0,0,7,0,1,209
-214,156,5,26,,210
-149,137,3,20,,211
37,82,1,8,1,212
-42,87,0,9,0,213
28,247,9,24,0,214
7,97,6,9,0,215
0,0,3,0,1,216
0,0,0,0,0,217
0,0,7,0,1,218
115,135,6,17,0,219
142,184,0,23,0,220
0,0,11,0,1,221
0,0,10,0,1,222
79,163,9,18,0,223
142,141,7,20,1,224
30,125,6,12,0,225
-60,97,4,11,1,226
0,0,1,0,0,227
0,0,0,0,,228
115,245,11,27,0,229
-132,184,10,22,0,230
0,0,10,0,0,231
0,0,10,0,0,232
-25,76,2,8,1,233
-145,108,1,18,0,234
-208,-29,0,21,0,235
-105,148,10,18,1,236
-48,175,8,18,0,237
-77,247,4,25,0,238
0,0,2,0,1,239
0,0,2,0,0,240
0,0,2,0,1,241
142,226,1,26,1,242
0,0,10,0,1,243
-63,171,9,18,1,244
0,0,3,0,1,245
64,175,2,18,1,246
0,0,9,0,1,247
0,0,9,0,1,248
115,236,6,26,1,249
0,0,6,0,0,250
163,7,5,16,0,251
0,0,2,0,0,252
0,0,2,0,1,253
0,0,1,0,1,254
64,40,10,7,0,255
-105,-2,7,10,1,256
106,154,6,18,,257
0,0,5,0,1,258
64,95,3,11,1,259
106,154,3,18,,260
-132,2,1,13,1,261
73,17,10,7,0,262
0,0,9,0,1,263
115,137,9,17,,264
-132,154,6,20,0,265
0,0,5,0,1,266
-141,-19,3,14,,267
235,23,2,23,0,268
28,175,0,17,1,269
184,171,11,25,1,270
127,61,9,14,0,271
28,89,9,9,1,272
-84,213,7,22,1,273
-119,144,5,18,1,274
0,110,10,11,0,275
0,0,7,0,1,276
127,80,6,15,0,277
-143,219,5,26,1,278
0,0,5,0,,279
77,141,7,16,1,280
-6,70,6,7,1,281
98,141,2,17,,282
0,0,2,0,1,283
0,0,1,0,1,284
144,215,0,25,1,285
-63,177,11,18,0,286
100,259,7,27,0,287
-48,78,4,9,1,288
153,198,3,25,0,289
-56,21,2,5,1,290
0,0,0,0,0,291
201,11,11,20,1,292
51,116,10,12,,293
243,34,9,24,1,294
123,232,5,26,1,295
-157,137,3,20,1,296
138,110,11,17,0,297
102,137,8,17,0,298
-65,106,8,12,,299
-115,106,6,15,,300
-86,55,5,10,,301
186,17,3,18,0,302
0,0,2,0,1,303
0,0,8,0,1,304
142,245,7,28,0,305
-33,70,6,7,0,306
-12,42,6,4,0,307
121,104,4,15,0,308
0,0,4,0,1,309
79,163,3,18,0,310
-94,0,2,9,0,311
-124,135,2,18,1,312
0,0,1,0,0,313
108,409,0,42,0,314
-67,135,10,15,0,315
-160,224,10,27,1,316
-117,217,9,24,,317
-134,9,10,13,1,318
-122,15,8,12,0,319
-101,116,7,15,0,320
-29,19,0,3,1,321
-50,245,0,25,0,322
-150,466,0,48,0,323
-29,13,11,3,0,324
-35,19,9,3,0,325
-35,19,1,3,0,326
167,184,0,24,,327
129,19,10,13,,328
0,0,9,0,1,329
167,207,9,26,0,330
0,0,7,0,1,331
60,177,3,18,1,332
0,0,1,0,1,333
-86,253,9,26,0,334
0,0,8,0,,335
172,68,7,18,1,336
-50,28,6,5,0,337
-86,165,5,18,1,338
-79,28,4,8,0,339
0,0,4,0,1,340
18,144,2,14,0,341
123,55,2,13,0,342
0,0,0,0,0,343
-170,-15,4,17,0,344
159,116,4,19,1,345
-16,55,3,5,,346
32,148,11,15,1,347
26,68,10,7,,348
5,198,9,19,0,349
-149,247,6,28,0,350
0,0,5,0,1,351
-79,133,4,15,1,352
-23,40,3,4,0,353
66,154,0,16,1,354
-86,257,0,27,1,355
75,198,11,21,0,356
0,0,11,0,1,357
-58,68,9,8,1,358
60,61,9,8,1,359
117,253,7,27,1,360
-50,17,6,5,0,361
0,0,6,0,1,362
18,209,4,20,0,363
-136,160,0,20,1,364
-16,181,11,18,,365
60,127,10,14,1,366
87,133,9,15,0,367
39,82,8,9,1,368
-149,2,6,14,0,369
110,243,5,26,1,370
110,13,1,11,1,371
11,82,8,8,0,372
-16,55,8,5,0,373
237,2,8,23,0,374
11,198,5,19,0,375
-185,127,1,22,1,376
0,0,1,0,0,377
11,89,0,8,1,378
18,160,0,16,0,379
0,0,10,0,1,380
-98,285,6,30,0,381
-157,45,5,16,1,382
-92,186,4,20,1,383
-149,28,3,15,0,384
75,28,3,8,1,385
138,13,0,13,0,386
0,0,0,0,1,387
0,0,8,0,1,388
-115,110,7,15,1,389
0,0,4,0,,390
0,0,1,0,,391
-73,11,0,7,,392
0,0,9,0,1,393
-65,165,7,17,1,394
81,133,6,15,1,395
138,110,3,17,0,396
117,247,1,27,,397
231,394,0,45,0,398
5,205,11,20,0,399
-44,148,10,15,0,400
18,23,9,2,1,401
123,89,8,15,1,402
-92,127,5,15,0,403
0,0,5,0,1,404
32,257,3,25,0,405
33,78,2,8,0,406
-212,64,0,22,0,407
123,148,9,19,0,408
0,0,9,0,0,409
-122,137,6,18,1,410
123,-15,4,12,1,411
-149,-15,4,14,1,412
237,40,11,24,1,413
-1,160,10,16,0,414
-176,-15,6,17,0,415
0,0,6,0,1,416
39,192,5,19,1,417
153,181,4,23,,418
0,0,1,0,1,419
60,17,0,6,1,420
150,116,11,18,1,421
102,160,10,18,0,422
0,0,7,0,0,423
-4,167,4,16,1,424
-168,-21,3,16,0,425
1,49,3,4,0,426
144,0,2,14,1,427
-147,0,0,14,,428
-31,61,10,6,0,429
0,0,9,0,1,430
180,4,7,18,1,431
159,0,6,15,0,432
0,0,1,0,0,433
-60,66,0,8,,434
-18,21,0,2,0,435
0,0,11,0,1,436
231,-4,10,23,1,437
-39,21,8,4,0,438
0,0,8,0,,439
96,228,6,24,,440
96,139,3,16,1,441
-60,167,2,17,0,442
-231,-4,0,23,1,443
1,78,7,7,1,444
-231,4,5,23,0,445
-225,-21,3,22,0,446
-73,78,2,10,1,447
-60,156,1,16,0,448
-189,4,0,18,0,449
30,251,0,25,0,450
-147,-4,2,14,1,451
0,0,2,0,1,452
-153,0,1,15,1,453
108,11,0,10,1,454
-96,318,0,33,0,455
-86,133,11,15,,456
26,55,8,6,1,457
172,99,7,19,0,458
60,34,6,6,,459
11,175,3,17,0,460
75,175,1,19,1,461
-50,68,0,8,1,462
186,-2,11,18,0,463
0,0,9,0,1,464
0,0,3,0,1,465
159,116,2,19,0,466
0,0,2,0,1,467
60,192,11,20,0,468
-44,13,11,4,0,469
172,-2,10,17,0,470
102,133,8,16,1,471
117,171,7,20,,472
-23,127,7,12,1,473
123,144,6,18,0,474
138,209,5,25,0,475
-58,17,3,6,0,476
-71,192,11,20,0,477
-1,72,11,7,0,478
-145,21,2,14,0,479
-101,4,1,10,,480
123,181,10,21,1,481
-130,160,9,20,0,482
0,0,9,0,1,483
-115,247,8,27,1,484
132,120,7,17,1,485
-170,40,6,17,0,486
0,0,1,0,1,487
-176,318,0,36,0,488
66,127,10,14,1,489
0,0,3,0,1,490
153,226,1,27,,491
-143,198,9,24,1,492
102,137,8,17,1,493
-10,61,7,6,1,494
-10,247,6,24,0,495
138,110,6,17,1,496
87,127,5,15,,497
0,0,3,0,0,498
60,133,0,14,0,499
-185,99,0,20,0,500
-1,78,10,7,0,501
-23,61,10,6,0,502
0,0,10,0,0,503
0,0,10,0,0,504
0,0,9,0,1,505
75,23,9,7,0,506
0,0,5,0,0,507
0,0,4,0,0,508
32,257,2,25,,509
11,175,1,17,1,510
180,192,0,26,,511
0,0,6,0,1,512
-197,28,5,19,0,513
0,0,4,0,1,514
138,110,3,17,0,515
11,291,2,29,0,516
-98,253,0,27,1,517
-122,236,0,26,0,518
110,127,11,16,0,519
81,175,7,19,0,520
110,23,2,11,0,521
32,61,0,6,1,522
-16,106,0,10,,523
153,232,6,27,1,524
87,28,6,9,0,525
-130,219,4,25,1,526
144,219,4,26,0,527
-107,247,2,26,0,528
-86,13,2,8,0,529
-136,7,2,13,0,530
-71,45,0,8,0,531
-71,270,0,27,0,532
161,108,8,19,,533
-27,34,3,4,1,534
-27,91,0,9,1,535
0,0,0,0,0,536
0,0,0,0,1,537
0,0,10,0,1,538
81,15,10,8,0,539
81,4,9,8,1,540
-4,72,7,7,0,541
96,152,1,17,1,542
0,0,1,0,1,543
0,0,1,0,,544
-12,51,0,5,0,545
226,4,8,22,,546
108,-15,7,10,0,547
1,51,0,5,0,548
-122,198,11,23,0,549
81,148,6,16,0,550
191,4,4,19,1,551
167,-4,3,16,0,552
-42,11,1,4,1,553
0,0,1,0,1,554
0,0,0,0,,555
0,0,0,0,1,556
-56,238,0,24,0,557
45,253,11,25,,558
0,0,9,0,1,559
-143,78,7,16,,560
0,0,6,0,0,561
-115,127,4,17,0,562
-136,-2,10,13,0,563
-58,55,10,7,0,564
75,106,3,12,1,565
110,226,1,25,1,566
-157,192,1,24,0,567
102,154,11,18,0,568
0,0,11,0,1,569
0,0,10,0,1,570
0,0,8,0,0,571
138,82,7,16,0,572
-149,34,6,15,,573
0,0,5,0,0,574
39,175,8,17,1,575
0,0,10,0,1,576
-141,11,8,14,0,577
0,0,8,0,1,578
-206,-4,6,20,1,579
-149,38,5,15,1,580
-176,122,4,21,0,581
153,127,3,19,1,582
-4,255,1,25,1,583
-155,38,1,15,0,584
144,127,0,19,0,585
100,620,0,62,0,586
0,0,7,0,1,587
16,209,5,20,1,588
-191,165,7,25,0,589
0,0,4,0,1,590
123,188,2,22,,591
1,72,2,7,1,592
-176,93,11,19,0,593
1,160,10,16,1,594
159,45,9,16,0,595
-4,99,8,9,,596
-134,177,6,22,,597
-206,89,4,22,1,598
237,21,3,23,0,599
129,4,3,12,0,600
-48,72,0,8,,601
-4,255,0,25,0,602
123,49,4,13,0,603
0,0,1,0,1,604
110,165,8,19,,605
-130,-2,7,13,0,606
-115,127,6,17,0,607
-56,0,5,5,1,608
0,0,2,0,1,609
62,116,0,13,1,610
47,236,11,24,0,611
161,181,9,24,0,612
56,47,8,7,1,613
125,165,7,20,0,614
153,23,5,15,1,615
24,47,0,5,0,616
125,0,10,12,,617
0,0,10,0,0,618
-71,137,8,15,1,619
32,7,8,3,1,620
-157,23,5,15,0,621
-109,171,1,20,1,622
110,116,0,15,0,623
0,0,0,0,1,624
182,-23,11,18,0,625
0,0,10,0,0,626
83,0,3,8,0,627
-166,0,0,16,,628
-149,148,10,21,1,629
-63,198,9,20,1,630
0,0,7,0,1,631
1,129,6,12,1,632
123,228,5,25,1,633
159,78,3,17,,634
0,0,1,0,1,635
0,0,11,0,1,636
79,181,10,19,1,637
0,0,6,0,1,638
41,30,5,5,0,639
-94,89,4,12,1,640
98,196,3,21,0,641
0,0,10,0,1,642
-107,19,9,10,1,643
136,30,9,13,0,644
-73,179,6,19,0,645
56,23,3,6,,646
0,0,3,0,1,647
20,63,10,6,1,648
106,133,9,17,,649
0,0,7,0,1,650
0,0,6,0,,651
106,63,1,12,1,652
49,207,0,21,1,653
0,0,0,0,,654
-136,99,11,16,1,655
0,0,11,0,,656
3,137,10,13,,657
140,116,7,18,0,658
-166,15,4,16,1,659
0,0,0,0,1,660
0,0,0,0,1,661
0,0,9,0,1,662
226,9,8,22,1,663
-115,150,3,18,0,664
146,55,2,15,1,665
-65,222,1,23,1,666
-1,160,1,16,0,667
-130,76,11,15,0,668
167,93,9,19,,669
0,0,5,0,,670
-130,177,10,21,1,671
-151,0,4,15,0,672
176,-13,2,17,0,673
-187,66,1,19,1,674
81,17,10,8,1,675
81,165,8,18,0,676
117,171,2,20,1,677
-157,198,1,25,0,678
45,110,0,11,0,679
0,0,0,0,1,680
144,154,11,21,1,681
45,51,0,6,1,682
-136,-19,10,13,0,683
5,137,9,13,1,684
94,160,8,18,0,685
45,120,6,12,1,686
-157,226,5,27,0,687
123,154,4,19,0,688
144,219,1,26,0,689
144,232,0,27,0,690
117,160,10,19,1,691
39,40,3,5,0,692
-44,55,1,7,,693
-71,99,1,12,,694
-84,215,10,23,0,695
-105,21,9,10,1,696
100,0,8,10,1,697
138,4,5,13,0,698
-27,169,4,17,,699
94,21,0,9,0,700
159,192,10,24,1,701
0,0,4,0,1,702
-141,28,2,14,1,703
167,68,2,18,1,704
1,175,0,17,0,705
1,243,0,24,1,706
-4,97,11,9,0,707
123,72,11,14,1,708
-141,205,8,24,1,709
0,0,7,0,1,710
167,97,6,19,,711
195,-4,2,19,1,712
159,0,0,15,0,713
201,21,9,20,0,714
174,45,8,17,1,715
-141,222,7,26,1,716
195,160,6,25,0,717
144,61,5,15,,718
0,0,2,0,1,719
-162,45,1,16,0,720
-12,55,0,5,0,721
153,0,10,15,,722
-191,188,8,26,,723
1,255,6,25,1,724
16,82,5,8,,725
0,0,3,0,1,726
64,49,2,8,1,727
-141,205,0,24,0,728
-71,238,8,24,0,729
-141,228,3,26,0,730
129,15,1,12,0,731
-50,236,9,24,0,732
-130,-19,8,13,1,733
153,61,7,16,,734
0,0,6,0,,735
-143,-29,1,14,0,736
-44,40,0,5,,737
-143,209,0,25,0,738
144,2,10,14,0,739
153,95,7,18,1,740
-107,99,4,14,0,741
94,82,3,12,1,742
0,0,3,0,1,743
159,116,2,19,0,744
0,0,1,0,1,745
159,17,9,15,,746
159,99,5,18,,747
0,0,0,0,1,748
-16,291,0,29,0,749
110,236,8,26,0,750
153,110,4,18,1,751
0,0,3,0,1,752
102,243,2,26,1,753
-227,13,1,22,1,754
45,209,0,21,0,755
-143,198,10,24,0,756
0,0,8,0,1,757
-176,34,7,17,1,758
54,133,6,14,1,759
102,116,5,15,1,760
0,0,4,0,0,761
45,154,4,16,0,762
-44,127,3,13,0,763
-170,-15,7,17,1,764
165,-15,6,16,0,765
11,270,5,27,,766
-176,13,5,17,,767
54,61,5,8,1,768
-130,40,4,13,1,769
0,0,2,0,1,770
-136,13,0,13,,771
26,72,0,7,1,772
-71,13,11,7,,773
-1,175,8,17,,774
193,34,1,19,0,775
-79,205,4,21,0,776
94,243,2,26,0,777
237,61,2,24,0,778
54,257,1,26,0,779
-10,133,10,13,1,780
-71,154,8,16,0,781
-44,205,10,20,0,782
-10,72,10,7,,783
-149,198,4,24,,784
172,181,2,24,0,785
-107,154,11,18,1,786
207,-15,9,20,1,787
81,78,8,11,0,788
-164,28,8,16,,789
0,0,7,0,0,790
-157,-2,7,15,1,791
186,171,2,25,,792
-98,2,1,9,0,793
0,0,0,0,0,794
0,0,0,0,1,795
123,270,0,29,0,796
144,13,10,14,1,797
-115,-23,7,11,0,798
0,0,6,0,0,799
66,243,5,25,0,800
159,99,4,18,1,801
-130,17,4,13,1,802
117,154,3,19,0,803
-164,175,0,23,,804
-107,224,6,24,0,805
11,241,5,24,0,806
182,-8,2,18,1,807
153,-4,7,15,1,808
176,-15,7,17,,809
0,0,6,0,1,810
182,36,1,18,1,811
-187,-32,0,18,,812
197,141,0,24,,813
115,112,0,16,0,814
153,207,0,25,0,815
-25,177,9,17,0,816
70,0,8,7,,817
-107,26,7,11,0,818
-54,19,4,5,1,819
161,13,3,16,,820
167,-8,3,16,1,821
85,184,0,20,0,822
-128,-15,8,12,0,823
123,171,5,21,1,824
-157,141,3,21,,825
144,148,2,20,,826
-16,247,0,24,0,827
214,112,0,24,0,828
231,82,10,24,,829
-122,17,8,12,0,830
94,175,5,19,0,831
-122,137,4,18,1,832
123,160,2,20,1,833
-37,165,0,16,1,834
144,99,0,17,0,835
-92,160,7,18,1,836
-1,68,7,6,1,837
-164,181,6,24,0,838
138,213,2,25,0,839
0,0,2,0,1,840
180,55,1,18,0,841
-136,23,11,13,0,842
54,253,7,25,0,843
-122,154,6,19,0,844
-130,-15,4,13,1,845
-149,61,3,16,1,846
0,0,2,0,0,847
-164,28,1,16,1,848
-164,-19,0,16,0,849
172,17,3,17,0,850
-136,154,2,20,1,851
66,219,1,22,0,852
54,160,10,16,0,853
-157,192,8,24,0,854
207,137,5,24,,855
45,148,4,15,1,856
87,175,3,19,1,857
144,120,2,18,0,858
0,0,1,0,,859
0,0,0,0,1,860
87,154,10,17,0,861
180,181,8,25,,862
0,0,7,0,1,863
0,0,5,0,0,864
-1,61,5,6,1,865
-122,133,3,18,1,866
-44,219,0,22,0,867
117,2,8,11,0,868
-130,-2,7,13,1,869
-164,192,5,25,,870
-122,7,2,12,0,871
0,0,1,0,1,872
-122,148,10,19,1,873
-31,78,7,8,1,874
60,175,11,18,1,875
153,51,8,16,,876
102,175,8,20,0,877
-92,192,3,21,0,878
117,2,3,11,1,879
-164,116,0,20,,880
32,51,0,6,0,881
0,0,11,0,1,882
5,110,8,11,1,883
123,154,7,19,1,884
26,116,5,11,1,885
0,0,3,0,,886
-185,171,3,25,0,887
-176,82,0,19,0,888
-107,165,9,19,,889
102,133,8,16,0,890
0,0,7,0,,891
138,213,7,25,1,892
87,165,3,18,1,893
-122,34,2,12,0,894
26,116,0,11,1,895
110,171,9,20,0,896
0,0,8,0,,897
-149,55,6,15,0,898
0,0,3,0,0,899
0,0,1,0,0,900
165,205,1,26,0,901
-75,243,11,25,,902
-4,63,9,6,,903
1,148,8,14,0,904
-147,141,7,20,0,905
-63,0,2,6,1,906
85,135,1,15,1,907
85,245,0,25,,908
-69,173,11,18,,909
129,-6,10,12,0,910
-48,15,8,5,0,911
157,63,10,16,0,912
-105,9,9,10,0,913
0,0,1,0,0,914
-12,257,0,25,0,915
85,245,11,25,0,916
43,196,9,20,0,917
150,76,6,16,0,918
-63,4,4,6,1,919
1,251,4,25,,920
0,0,10,0,1,921
138,127,5,18,,922
-149,55,5,15,0,923
159,40,3,16,,924
39,89,2,9,0,925
0,0,2,0,0,926
138,120,1,18,0,927
-31,68,0,7,0,928
32,51,0,6,1,929
0,0,8,0,1,930
-44,13,5,4,1,931
-37,247,2,24,,932
-107,-2,0,10,1,933
81,253,10,26,,934
-16,270,9,27,0,935
117,181,3,21,1,936
138,219,7,25,,937
0,0,5,0,0,938
0,0,4,0,0,939
-10,205,0,20,1,940
127,55,11,13,,941
142,40,9,14,1,942
157,28,6,15,,943
-240,0,4,24,1,944
-23,264,0,26,0,945
157,17,0,15,0,946
-138,122,6,18,1,947
32,188,5,19,0,948
0,0,4,0,0,949
-132,133,3,18,,950
134,66,2,14,0,951
163,72,11,17,,952
-183,23,11,18,0,953
0,0,10,0,,954
0,0,7,0,1,955
-132,122,2,17,0,956
0,0,2,0,1,957
0,0,1,0,0,958
0,0,10,0,1,959
-153,34,8,15,1,960
-138,89,7,16,0,961
0,0,4,0,0,962
-168,89,2,19,,963
0,0,2,0,1,964
0,0,1,0,1,965
0,0,0,0,1,966
-109,247,0,26,0,967
115,-8,9,11,1,968
-77,127,7,14,1,969
159,-19,5,16,0,970
51,-2,5,5,1,971
-92,116,4,14,0,972
-155,-8,3,15,0,973
7,7,2,0,1,974
167,-8,1,16,,975
115,23,6,11,0,976
-134,7,4,13,0,977
-12,13,4,1,0,978
-56,188,3,19,,979
-4,40,3,4,0,980
64,127,1,14,,981
1,-8,1,0,1,982
231,0,0,23,,983
51,13,10,5,0,984
7,0,10,0,,985
-33,150,7,15,1,986
-141,0,5,14,1,987
1,127,3,12,0,988
7,7,8,0,,989
-162,40,7,16,0,990
7,47,4,4,0,991
1,144,3,14,1,992
180,-13,0,18,0,993
-136,61,10,14,1,994
89,177,6,19,,995
113,125,5,16,0,996
0,0,2,0,0,997
0,0,1,0,,998
1,228,0,22,0,999
0,0,5,0,0,1000
0,0,4,0,0,1001
0,0,0,0,0,1002
-164,23,0,16,0,1003
-143,118,9,18,0,1004
121,45,3,12,1,1005
0,0,0,0,1,1006
0,0,8,0,0,1007
39,34,8,5,,1008
0,0,7,0,1,1009
172,192,3,25,1,1010
0,0,8,0,0,1011
-79,181,7,19,1,1012
0,0,4,0,0,1013
0,0,4,0,1,1014
159,40,3,16,1,1015
0,0,2,0,0,1016
132,89,0,15,0,1017
0,0,0,0,1,1018
0,0,0,0,,1019
144,23,11,14,1,1020
5,78,9,7,1,1021
0,0,5,0,1,1022
172,144,2,22,,1023
11,95,2,9,1,1024
-58,181,2,19,0,1025
153,106,0,18,,1026
0,0,0,0,0,1027
11,312,8,31,0,1028
144,13,7,14,,1029
-149,89,5,17,0,1030
117,144,4,18,1,1031
132,171,3,21,1,1032
0,0,1,0,1,1033
117,120,0,16,,1034
0,0,8,0,0,1035
-44,34,5,5,,1036
132,127,4,18,0,1037
-143,110,2,18,,1038
165,51,1,17,,1039
-107,110,0,15,0,1040
0,0,11,0,1,1041
-197,17,9,19,1,1042
-111,135,7,17,0,1043
85,2,6,8,0,1044
-84,169,3,18,0,1045
121,175,7,21,1,1046
14,141,7,14,0,1047
0,0,6,0,0,1048
127,163,6,20,0,1049
0,0,4,0,0,1050
0,0,4,0,,1051
-126,-15,3,12,,1052
-204,-8,1,20,1,1053
106,163,0,19,0,1054
-160,34,0,16,0,1055
142,146,11,20,1,1056
-27,85,10,8,0,1057
-27,61,9,6,1,1058
49,23,7,5,0,1059
127,169,6,21,0,1060
241,13,4,24,0,1061
0,0,2,0,1,1062
163,7,2,16,0,1063
-27,141,0,14,0,1064
-54,57,5,7,0,1065
94,108,3,14,,1066
-132,61,5,14,0,1067
-54,192,4,19,1,1068
-6,203,1,20,0,1069
22,304,0,30,1,1070
0,0,9,0,1,1071
134,-25,5,13,0,1072
-132,108,1,17,1,1073
106,696,0,70,0,1074
-132,-2,9,13,1,1075
73,112,8,13,0,1076
0,0,8,0,1,1077
0,0,7,0,1,1078
127,125,6,17,1,1079
0,0,4,0,1,1080
-141,-15,11,14,0,1081
0,0,9,0,0,1082
-141,2,7,14,1,1083
-174,28,6,17,0,1084
0,0,5,0,1,1085
-111,57,4,12,0,1086
-18,61,2,6,,1087
0,0,2,0,0,1088
-111,34,1,11,1,1089
58,203,0,21,0,1090
28,179,0,18,0,1091
115,125,0,16,,1092
0,0,10,0,1,1093
-12,177,9,17,,1094
0,0,2,0,1,1095
73,87,1,11,1,1096
0,0,0,0,0,1097
94,167,10,19,,1098
1,257,3,25,,1099
0,0,10,0,1,1100
37,99,8,10,0,1101
180,190,8,26,,1102
-170,15,7,17,1,1103
0,0,6,0,0,1104
-92,4,3,9,1,1105
180,177,0,25,0,1106
-134,11,6,13,1,1107
-12,264,5,26,1,1108
0,0,4,0,1,1109
0,0,1,0,1,1110
0,0,1,0,1,1111
1,184,0,18,0,1112
-141,219,3,26,0,1113
0,0,3,0,0,1114
144,34,2,14,0,1115
0,0,1,0,0,1116
0,0,0,0,1,1117
191,15,6,19,,1118
167,0,9,16,0,1119
0,0,5,0,1,1120
-16,268,4,26,1,1121
-151,93,3,17,0,1122
0,0,2,0,1,1123
153,99,10,18,1,1124
-151,87,9,17,0,1125
-29,110,7,11,1,1126
